balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,4.5488241000002745,12,1,BART
1,5,True,0,6.338253500000064,12,1,BART
2,3,False,15,3.6374861000003875,12,1,BART
3,4,True,0,4.469315499998629,12,1,BART
4,3,False,15,2.937921099999585,12,1,BART
5,4,False,20,3.0090469000006124,12,1,BART
6,4,False,20,2.858727100001488,12,1,BART
7,4,False,20,4.423657899998943,12,1,BART
8,5,False,25,3.292498400000113,12,1,BART
9,5,False,25,3.866404699998384,12,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.0,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
